,cc,level,category,test,data
250,CM,ERROR,Connectivity,ERROR_ASN_DATABASE,{'ns_ip': '128.223.32.35'}
251,CM,ERROR,Connectivity,ERROR_ASN_DATABASE,{'ns_ip': '195.24.205.61'}
252,CM,ERROR,Connectivity,ERROR_ASN_DATABASE,{'ns_ip': '2a00:7580:60:2141::10'}
253,CM,ERROR,Connectivity,ERROR_ASN_DATABASE,{'ns_ip': '2001:678:c::1'}
254,CM,ERROR,Connectivity,ERROR_ASN_DATABASE,{'ns_ip': '2001:468:d01:20::80df:2023'}
255,CM,ERROR,Connectivity,ERROR_ASN_DATABASE,{'ns_ip': '2001:43f8:120::67'}
256,CM,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE,{'ns_ip': '198.6.1.82'}
257,CM,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE,{'ns_ip': '196.216.168.67'}
258,CM,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE,{'ns_ip': '2001:43f8:120::67'}
259,CM,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE,{'ns_ip': '194.0.9.1'}
260,CM,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE,{'ns_ip': '2001:678:c::1'}
261,CM,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE,{'ns_ip': '156.106.192.121'}
262,CM,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE,{'ns_ip': '2a00:7580:60:2141::10'}
263,CM,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE,{'ns_ip': '195.24.205.60'}
264,CM,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE,{'ns_ip': '195.24.205.61'}
265,CM,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE,{'ns_ip': '128.223.32.35'}
266,CM,ERROR,Connectivity,CN04_ERROR_PREFIX_DATABASE,{'ns_ip': '2001:468:d01:20::80df:2023'}
267,CM,NOTICE,DNSSEC,NEITHER_DNSKEY_NOR_DS,"{'child': '198.6.1.82', 'parent': '198.41.0.4'}"
268,CM,NOTICE,DNSSEC,NOT_SIGNED,{'zone': 'cm'}
269,CM,ERROR,Nameserver,BREAKS_ON_EDNS,"{'domain': 'cm', 'ns': 'ns-cm.nic.fr/194.0.9.1'}"
270,CM,WARNING,Nameserver,CASE_QUERY_NO_ANSWER,"{'domain': 'WwW.cm', 'ns': 'ns-cm.afrinic.net/196.216.168.67', 'type': 'SOA'}"
271,CM,ERROR,Nameserver,CASE_QUERIES_RESULTS_DIFFER,"{'domain': 'www.cm', 'type': 'SOA'}"
272,CM,WARNING,Nameserver,N10_NO_RESPONSE_EDNS1_QUERY,{'ns_ip_list': '195.24.205.61;196.216.168.67'}
273,CM,WARNING,Nameserver,N11_NO_RESPONSE,{'ns_ip_list': '195.24.205.61;196.216.168.67'}
274,CM,NOTICE,Nameserver,N15_SOFTWARE_VERSION,"{'ns_list': 'ns1.nic.cm/195.24.205.60', 'query_name': 'version.bind', 'string': '9.8.2rc1-RedHat-9.8.2-0.30.rc1.el6_6.1'}"
275,CM,NOTICE,Nameserver,N15_SOFTWARE_VERSION,"{'ns_list': 'auth02.ns.uu.net/198.6.1.82', 'query_name': 'version.bind', 'string': 'Verizon'}"
276,CM,NOTICE,Nameserver,N15_SOFTWARE_VERSION,"{'ns_list': 'phloem.uoregon.edu/128.223.32.35', 'query_name': 'version.bind', 'string': '9999.9.9'}"
277,CM,NOTICE,Nameserver,N15_ERROR_ON_VERSION_QUERY,"{'ns_list': 'ns-cm.afrinic.net/196.216.168.67;ns-cm.nic.fr/194.0.9.1;ns2.nic.cm/195.24.205.61', 'query_name': 'version.bind'}"
278,CM,NOTICE,Nameserver,N15_ERROR_ON_VERSION_QUERY,"{'ns_list': 'ns-cm.afrinic.net/196.216.168.67;ns-cm.nic.fr/194.0.9.1;ns2.nic.cm/195.24.205.61', 'query_name': 'version.server'}"
279,CM,WARNING,Zone,Z09_NO_RESPONSE_MX_QUERY,{'ns_ip_list': '194.0.9.1;195.24.205.61;196.216.168.67'}
280,CM,NOTICE,Zone,Z11_NO_SPF_FOUND,{}
281,CV,WARNING,Address,NAMESERVER_IP_WITHOUT_REVERSE,"{'ns_ip': '41.221.192.220', 'nsname': 'ns.dns.cv'}"
282,CV,WARNING,Connectivity,CN01_NO_RESPONSE_UDP,{'ns': 'anyc.dnsnode.net/2a01:3f1:3032:8001::135'}
283,CV,WARNING,Connectivity,CN01_NO_RESPONSE_UDP,{'ns': 'c.dns.pt/2001:500:14:6105:ad::1'}
284,CV,WARNING,Connectivity,CN01_NO_RESPONSE_UDP,{'ns': 'cv01.dns.pt/2a04:6d80::18'}
285,CV,WARNING,Connectivity,CN01_NO_RESPONSE_NS_QUERY_UDP,{'ns': 'ns.dns.cv/41.221.192.220'}
286,CV,WARNING,Connectivity,CN02_NO_RESPONSE_TCP,{'ns': 'anyc.dnsnode.net/2a01:3f1:3032:8001::135'}
287,CV,WARNING,Connectivity,CN02_NO_RESPONSE_TCP,{'ns': 'c.dns.pt/2001:500:14:6105:ad::1'}
288,CV,WARNING,Connectivity,CN02_NO_RESPONSE_TCP,{'ns': 'cv01.dns.pt/2a04:6d80::18'}
289,CV,WARNING,Connectivity,CN02_NO_RESPONSE_NS_QUERY_TCP,{'ns': 'ns.dns.cv/41.221.192.220'}
290,CV,ERROR,Connectivity,ERROR_ASN_DATABASE,{'ns_ip': '194.58.198.135'}
291,CV,ERROR,Connectivity,ERROR_ASN_DATABASE,{'ns_ip': '41.221.192.220'}
292,CV,ERROR,Connectivity,ERROR_ASN_DATABASE,{'ns_ip': '204.61.216.105'}
