DNSSEC database status for TLDs as of 2020-07-13
TLD,Status,Is Principal,Is Test,Is IDN,Is Country,Is Regional,Map Region
LIGHTING, DS in Root, 1, 0, 0, 0, 0, None
SINGLES, DS in Root, 1, 0, 0, 0, 0, None
VENTURES, DS in Root, 1, 0, 0, 0, 0, None
VOYAGE, DS in Root, 1, 0, 0, 0, 0, None
BIKE, DS in Root, 0, 0, 0, 0, 0, None
CONSTRUCTION, DS in Root, 0, 0, 0, 0, 0, None
CONTRACTORS, DS in Root, 0, 0, 0, 0, 0, None
ESTATE, DS in Root, 0, 0, 0, 0, 0, None
GALLERY, DS in Root, 0, 0, 0, 0, 0, None
GRAPHICS, DS in Root, 0, 0, 0, 0, 0, None
LAND, DS in Root, 0, 0, 0, 0, 0, None
PLUMBING, DS in Root, 0, 0, 0, 0, 0, None
TECHNOLOGY, DS in Root, 0, 0, 0, 0, 0, None
DIAMONDS, DS in Root, 0, 0, 0, 0, 0, None
DIRECTORY, DS in Root, 0, 0, 0, 0, 0, None
ENTERPRISES, DS in Root, 0, 0, 0, 0, 0, None
KITCHEN, DS in Root, 0, 0, 0, 0, 0, None
PHOTOGRAPHY, DS in Root, 0, 0, 0, 0, 0, None
TIPS, DS in Root, 0, 0, 0, 0, 0, None
TODAY, DS in Root, 0, 0, 0, 0, 0, None
SEXY, DS in Root, 0, 0, 0, 0, 0, None
TATTOO, DS in Root, 0, 0, 0, 0, 0, None
COMMUNITY, DS in Root, 0, 0, 0, 0, 0, None
DATING, DS in Root, 0, 0, 0, 0, 0, None
XN--Q9JYB4C, DS in Root, 0, 0, 1, 0, 0, None
MENU, DS in Root, 0, 0, 0, 0, 0, None
UNO, DS in Root, 0, 0, 0, 0, 0, None
RUHR, DS in Root, 0, 0, 0, 0, 0, None
ACADEMY, DS in Root, 0, 0, 0, 0, 0, None
CAB, DS in Root, 0, 0, 0, 0, 0, None
CAMP, DS in Root, 0, 0, 0, 0, 0, None
CAREERS, DS in Root, 0, 0, 0, 0, 0, None
CENTER, DS in Root, 0, 0, 0, 0, 0, None
COMPANY, DS in Root, 0, 0, 0, 0, 0, None
COMPUTER, DS in Root, 0, 0, 0, 0, 0, None
DOMAINS, DS in Root, 0, 0, 0, 0, 0, None
LIMO, DS in Root, 0, 0, 0, 0, 0, None
MANAGEMENT, DS in Root, 0, 0, 0, 0, 0, None
PHOTOS, DS in Root, 0, 0, 0, 0, 0, None
RECIPES, DS in Root, 0, 0, 0, 0, 0, None
SHOES, DS in Root, 0, 0, 0, 0, 0, None
SYSTEMS, DS in Root, 0, 0, 0, 0, 0, None
VIAJES, DS in Root, 0, 0, 0, 0, 0, None
XN--55QW42G, DS in Root, 0, 0, 1, 0, 0, None
XN--ZFR164B, DS in Root, 0, 0, 1, 0, 0, None
BUZZ, DS in Root, 0, 0, 0, 0, 0, None
SUPPORT, DS in Root, 0, 0, 0, 0, 0, None
NAGOYA, DS in Root, 0, 0, 0, 0, 0, None
TOKYO, DS in Root, 0, 0, 0, 0, 0, None
VOTING, DS in Root, 0, 0, 0, 0, 0, None
BUILDERS, DS in Root, 0, 0, 0, 0, 0, None
CODES, DS in Root, 0, 0, 0, 0, 0, None
CEO, DS in Root, 0, 0, 0, 0, 0, None
COFFEE, DS in Root, 0, 0, 0, 0, 0, None
EDUCATION, DS in Root, 0, 0, 0, 0, 0, None
FARM, DS in Root, 0, 0, 0, 0, 0, None
FLORIST, DS in Root, 0, 0, 0, 0, 0, None
GLASS, DS in Root, 0, 0, 0, 0, 0, None
HOLIDAY, DS in Root, 0, 0, 0, 0, 0, None
HOUSE, DS in Root, 0, 0, 0, 0, 0, None
INSTITUTE, DS in Root, 0, 0, 0, 0, 0, None
INTERNATIONAL, DS in Root, 0, 0, 0, 0, 0, None
KAUFEN, DS in Root, 0, 0, 0, 0, 0, None
NINJA, DS in Root, 0, 0, 0, 0, 0, None
ONL, DS in Root, 0, 0, 0, 0, 0, None
REPAIR, DS in Root, 0, 0, 0, 0, 0, None
SOLAR, DS in Root, 0, 0, 0, 0, 0, None
SOLUTIONS, DS in Root, 0, 0, 0, 0, 0, None
TRAINING, DS in Root, 0, 0, 0, 0, 0, None
EMAIL, DS in Root, 0, 0, 0, 0, 0, None
IMMOBILIEN, DS in Root, 0, 0, 0, 0, 0, None
XN--3DS443G, DS in Root, 0, 0, 1, 0, 0, None
WIEN, DS in Root, 0, 0, 0, 0, 0, None
KIWI, DS in Root, 0, 0, 0, 0, 0, None
WANG, DS in Root, 0, 0, 0, 0, 0, None
XN--3BST00M, DS in Root, 0, 0, 1, 0, 0, None
XN--FIQ228C5HS, DS in Root, 0, 0, 1, 0, 0, None
BERLIN, DS in Root, 0, 0, 0, 0, 0, None
XN--6QQ986B3XL, DS in Root, 0, 0, 1, 0, 0, None
AGENCY, DS in Root, 0, 0, 0, 0, 0, None
CHEAP, DS in Root, 0, 0, 0, 0, 0, None
MARKETING, DS in Root, 0, 0, 0, 0, 0, None
ZONE, DS in Root, 0, 0, 0, 0, 0, None
DANCE, DS in Root, 0, 0, 0, 0, 0, None
DEMOCRAT, DS in Root, 0, 0, 0, 0, 0, None
MODA, DS in Root, 0, 0, 0, 0, 0, None
SOCIAL, DS in Root, 0, 0, 0, 0, 0, None
CATERING, DS in Root, 0, 0, 0, 0, 0, None
CLEANING, DS in Root, 0, 0, 0, 0, 0, None
CRUISES, DS in Root, 0, 0, 0, 0, 0, None
EVENTS, DS in Root, 0, 0, 0, 0, 0, None
EXPOSED, DS in Root, 0, 0, 0, 0, 0, None
FLIGHTS, DS in Root, 0, 0, 0, 0, 0, None
PARTNERS, DS in Root, 0, 0, 0, 0, 0, None
PROPERTIES, DS in Root, 0, 0, 0, 0, 0, None
RENTALS, DS in Root, 0, 0, 0, 0, 0, None
REPORT, DS in Root, 0, 0, 0, 0, 0, None
BLUE, Operational, 0, 0, 0, 0, 0, None
XN--6FRZ82G, DS in Root, 0, 0, 1, 0, 0, None
BUILD, DS in Root, 0, 0, 0, 0, 0, None
CLUB, DS in Root, 0, 0, 0, 0, 0, None
GIFT, DS in Root, 0, 0, 0, 0, 0, None
GUITARS, DS in Root, 0, 0, 0, 0, 0, None
PHOTO, DS in Root, 0, 0, 0, 0, 0, None
LINK, DS in Root, 0, 0, 0, 0, 0, None
PICS, DS in Root, 0, 0, 0, 0, 0, None
LUXURY, DS in Root, 0, 0, 0, 0, 0, None
MONASH, DS in Root, 0, 0, 0, 0, 0, None
PINK, DS in Root, 0, 0, 0, 0, 0, None
RED, DS in Root, 0, 0, 0, 0, 0, None
SHIKSHA, DS in Root, 0, 0, 0, 0, 0, None
RICH, DS in Root, 0, 0, 0, 0, 0, None
XN--55QX5D, DS in Root, 0, 0, 1, 0, 0, None
XN--IO0A7I, DS in Root, 0, 0, 1, 0, 0, None
XN--FIQ64B, DS in Root, 0, 0, 1, 0, 0, None
BARGAINS, DS in Root, 0, 0, 0, 0, 0, None
BOUTIQUE, DS in Root, 0, 0, 0, 0, 0, None
COOL, DS in Root, 0, 0, 0, 0, 0, None
EXPERT, DS in Root, 0, 0, 0, 0, 0, None
TIENDA, DS in Root, 0, 0, 0, 0, 0, None
TOOLS, DS in Root, 0, 0, 0, 0, 0, None
WATCH, DS in Root, 0, 0, 0, 0, 0, None
WORKS, DS in Root, 0, 0, 0, 0, 0, None
KIM, DS in Root, 0, 0, 0, 0, 0, None
WED, DS in Root, 0, 0, 0, 0, 0, None
CARDS, DS in Root, 0, 0, 0, 0, 0, None
CONDOS, DS in Root, 0, 0, 0, 0, 0, None
FOUNDATION, DS in Root, 0, 0, 0, 0, 0, None
MAISON, DS in Root, 0, 0, 0, 0, 0, None
PARTS, DS in Root, 0, 0, 0, 0, 0, None
PRODUCTIONS, DS in Root, 0, 0, 0, 0, 0, None
VILLAS, DS in Root, 0, 0, 0, 0, 0, None
VISION, DS in Root, 0, 0, 0, 0, 0, None
FUTBOL, DS in Root, 0, 0, 0, 0, 0, None
REVIEWS, DS in Root, 0, 0, 0, 0, 0, None
QPON, DS in Root, 0, 0, 0, 0, 0, None
MANGO, DS in Root, 0, 0, 0, 0, 0, None
XN--MGBAB2BD, DS in Root, 0, 0, 1, 0, 0, None
NEUSTAR, DS in Root, 0, 0, 0, 0, 0, None
WIKI, DS in Root, 0, 0, 0, 0, 0, None
XYZ, DS in Root, 0, 0, 0, 0, 0, None
FISH, DS in Root, 0, 0, 0, 0, 0, None
INDUSTRIES, DS in Root, 0, 0, 0, 0, 0, None
SUPPLY, DS in Root, 0, 0, 0, 0, 0, None
VACATIONS, DS in Root, 0, 0, 0, 0, 0, None
XN--CG4BKI, DS in Root, 0, 0, 1, 0, 0, None
SUPPLIES, DS in Root, 0, 0, 0, 0, 0, None
ACTOR, DS in Root, 0, 0, 0, 0, 0, None
PUB, DS in Root, 0, 0, 0, 0, 0, None
CHRISTMAS, DS in Root, 0, 0, 0, 0, 0, None
XN--D1ACJ3B, DS in Root, 0, 0, 1, 0, 0, None
BAR, DS in Root, 0, 0, 0, 0, 0, None
BEST, DS in Root, 0, 0, 0, 0, 0, None
KRED, DS in Root, 0, 0, 0, 0, 0, None
BID, DS in Root, 0, 0, 0, 0, 0, None
OKINAWA, DS in Root, 0, 0, 0, 0, 0, None
VOTE, DS in Root, 0, 0, 0, 0, 0, None
VOTO, DS in Root, 0, 0, 0, 0, 0, None
KOELN, DS in Root, 0, 0, 0, 0, 0, None
XN--C1AVG, DS in Root, 0, 0, 1, 0, 0, None
XN--I1B6B1A6A2E, DS in Root, 0, 0, 1, 0, 0, None
XN--NQV7F, DS in Root, 0, 0, 1, 0, 0, None
XN--NQV7FS00EMA, DS in Root, 0, 0, 1, 0, 0, None
DNP, DS in Root, 0, 0, 0, 0, 0, None
INK, DS in Root, 0, 0, 0, 0, 0, None
XN--RHQV96G, DS in Root, 0, 0, 1, 0, 0, None
JETZT, DS in Root, 0, 0, 0, 0, 0, None
AXA, DS in Root, 0, 0, 0, 0, 0, None
COLOGNE, DS in Root, 0, 0, 0, 0, 0, None
TRADE, DS in Root, 0, 0, 0, 0, 0, None
WEBCAM, DS in Root, 0, 0, 0, 0, 0, None
NYC, DS in Root, 0, 0, 0, 0, 0, None
LONDON, DS in Root, 0, 0, 0, 0, 0, None
SOHU, DS in Root, 0, 0, 0, 0, 0, None
BLACK, DS in Root, 0, 0, 0, 0, 0, None
MEET, DS in Root, 0, 0, 0, 0, 0, None
REN, DS in Root, 0, 0, 0, 0, 0, None
ARCHI, DS in Root, 0, 0, 0, 0, 0, None
COOKING, DS in Root, 0, 0, 0, 0, 0, None
COUNTRY, DS in Root, 0, 0, 0, 0, 0, None
FISHING, DS in Root, 0, 0, 0, 0, 0, None
HORSE, DS in Root, 0, 0, 0, 0, 0, None
MIAMI, DS in Root, 0, 0, 0, 0, 0, None
RODEO, DS in Root, 0, 0, 0, 0, 0, None
VODKA, DS in Root, 0, 0, 0, 0, 0, None
HAUS, DS in Root, 0, 0, 0, 0, 0, None
MOE, DS in Root, 0, 0, 0, 0, 0, None
VEGAS, DS in Root, 0, 0, 0, 0, 0, None
CONSULTING, DS in Root, 0, 0, 0, 0, 0, None
REST, DS in Root, 0, 0, 0, 0, 0, None
SAARLAND, DS in Root, 0, 0, 0, 0, 0, None
RYUKYU, DS in Root, 0, 0, 0, 0, 0, None
YOKOHAMA, DS in Root, 0, 0, 0, 0, 0, None
GOP, DS in Root, 0, 0, 0, 0, 0, None
XN--CZRU2D, DS in Root, 0, 0, 1, 0, 0, None
COLLEGE, DS in Root, 0, 0, 0, 0, 0, None
DESI, DS in Root, 0, 0, 0, 0, 0, None
FEEDBACK, DS in Root, 0, 0, 0, 0, 0, None
ROCKS, DS in Root, 0, 0, 0, 0, 0, None
XN--SES554G, DS in Root, 0, 0, 1, 0, 0, None
ASSOCIATES, DS in Root, 0, 0, 0, 0, 0, None
CAPITAL, DS in Root, 0, 0, 0, 0, 0, None
ENGINEERING, DS in Root, 0, 0, 0, 0, 0, None
GRIPE, DS in Root, 0, 0, 0, 0, 0, None
LEASE, DS in Root, 0, 0, 0, 0, 0, None
MEDIA, DS in Root, 0, 0, 0, 0, 0, None
PICTURES, DS in Root, 0, 0, 0, 0, 0, None
REISEN, DS in Root, 0, 0, 0, 0, 0, None
SERVICES, DS in Root, 0, 0, 0, 0, 0, None
TOWN, DS in Root, 0, 0, 0, 0, 0, None
TOYS, DS in Root, 0, 0, 0, 0, 0, None
UNIVERSITY, DS in Root, 0, 0, 0, 0, 0, None
CAREER, DS in Root, 0, 0, 0, 0, 0, None
EUS, DS in Root, 0, 0, 0, 0, 0, None
GAL, DS in Root, 0, 0, 0, 0, 0, None
QUEBEC, DS in Root, 0, 0, 0, 0, 0, None
FOO, DS in Root, 0, 0, 0, 0, 0, None
SOY, DS in Root, 0, 0, 0, 0, 0, None
FROGANS, DS in Root, 0, 0, 0, 0, 0, None
PARIS, DS in Root, 0, 0, 0, 0, 0, None
BLACKFRIDAY, DS in Root, 0, 0, 0, 0, 0, None
CLINIC, DS in Root, 0, 0, 0, 0, 0, None
FITNESS, DS in Root, 0, 0, 0, 0, 0, None
SCHULE, DS in Root, 0, 0, 0, 0, 0, None
CARE, DS in Root, 0, 0, 0, 0, 0, None
CASH, DS in Root, 0, 0, 0, 0, 0, None
DENTAL, DS in Root, 0, 0, 0, 0, 0, None
